url,name,slug,postal_code,condo_fee_min_brl,iptu_min_brl,area_min_m2,area_max_m2,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,parking_spots_min,parking_spots_max,construction_year
https://www.quintoandar.com.br/condominio/edificio-residencial-malaga-pantanal-florianopolis-ek99slmjxk,Edifício Residencial Malaga,edificio-residencial-malaga-pantanal-florianopolis,88040-010,830,1615,60,177,2,3,1,4,1,2,
https://www.quintoandar.com.br/condominio/rua-cecilia-dos-santos-125-trindade-florianopolis-keys5my81p,,rua-cecilia-dos-santos-125-trindade-florianopolis,88040-450,,,100,100,2,2,3,3,2,2,
https://www.quintoandar.com.br/condominio/rua-maestro-aldo-krieger-132-corrego-grande-florianopolis-xplgswq4vk,,rua-maestro-aldo-krieger-132-corrego-grande-florianopolis,88037-500,,,55,55,2,2,1,1,1,1,
https://www.quintoandar.com.br/condominio/rua-jardim-dos-eucaliptos-2355-morro-das-pedras-florianopolis-keys5xm94p,,rua-jardim-dos-eucaliptos-2355-morro-das-pedras-florianopolis,88063-271,180,30,40,45,1,1,1,1,,1,
https://www.quintoandar.com.br/condominio/naval-clube-residence-jardim-atlantico-florianopolis-ed5zswwq2d,Naval Clube Residence,naval-clube-residence-jardim-atlantico-florianopolis,88095-152,510,,53,150,2,4,1,4,1,3,
https://www.quintoandar.com.br/condominio/claudia-centro-florianopolis-vk87s55g8p,Claudia,claudia-centro-florianopolis,88015-600,490,42,42,98,1,2,1,3,,1,1978
https://www.quintoandar.com.br/condominio/quinta-das-romas-centro-florianopolis-pxnsozwx5d,Quinta das Romãs,quinta-das-romas-centro-florianopolis,88015-440,692,136,80,230,2,3,1,4,2,2,2010
https://www.quintoandar.com.br/condominio/rua-sao-francisco-201-centro-florianopolis-9pm8s7888k,,rua-sao-francisco-201-centro-florianopolis,88015-140,600,,61,88,2,2,1,1,1,1,
https://www.quintoandar.com.br/condominio/rua-douglas-seabra-levier-228-trindade-florianopolis-keysw92rqp,,rua-douglas-seabra-levier-228-trindade-florianopolis,88040-410,740,3200,200,259,3,5,4,5,4,4,
https://www.quintoandar.com.br/condominio/rua-prefeito-coronel-antenor-mesquita-165-centro-florianopolis-d37s5vy1lp,,rua-prefeito-coronel-antenor-mesquita-165-centro-florianopolis,88015-150,,,-1,-1,-1,-1,-1,-1,-1,-1,
https://www.quintoandar.com.br/condominio/marbella-centro-florianopolis-p6js8vn4wk,Marbella,marbella-centro-florianopolis,88015-640,780,175,112,113,3,3,2,3,1,1,
https://www.quintoandar.com.br/condominio/edificio-dona-sunta-centro-florianopolis-knzsyv92gk,Edifício Dona Sunta,edificio-dona-sunta-centro-florianopolis,88015-040,560,173,74,161,2,3,1,3,,2,
https://www.quintoandar.com.br/condominio/rodovia-francisco-magno-vieira-4023-rio-tavares-central-florianopolis-d47s410qyd,,rodovia-francisco-magno-vieira-4023-rio-tavares-central-florianopolis,88048-000,350,15,50,300,1,4,1,5,,4,
https://www.quintoandar.com.br/condominio/residencial-arezzo-joao-paulo-florianopolis-d37s5lyq1p,Residencial Arezzo,residencial-arezzo-joao-paulo-florianopolis,88030-415,618,,68,136,2,3,2,2,1,2,
https://www.quintoandar.com.br/condominio/residencial-milano-itaguacu-florianopolis-wdw2s8180d,Residencial Milano,residencial-milano-itaguacu-florianopolis,88085-480,460,1160,85,150,3,3,2,2,1,2,
https://www.quintoandar.com.br/condominio/rodovia-virgilio-varzea-1019-saco-grande-florianopolis-drrsn3xojd,,rodovia-virgilio-varzea-1019-saco-grande-florianopolis,88032-001,480,59,28,77,1,2,1,2,,2,
https://www.quintoandar.com.br/condominio/residencial-ingleses-do-rio-vermelho-florianopolis-rdyos853zk,Residencial,residencial-ingleses-do-rio-vermelho-florianopolis,88058-510,280,180,70,160,2,3,1,3,1,2,2007
https://www.quintoandar.com.br/condominio/christiane-village-trindade-florianopolis-p0gs5ng7ok,Christiane Village,christiane-village-trindade-florianopolis,88036-205,400,62,78,95,1,3,1,3,,2,1987
https://www.quintoandar.com.br/condominio/servidao-netuno-1529-ingleses-do-rio-vermelho-florianopolis-jpqms4g5zd,,servidao-netuno-1529-ingleses-do-rio-vermelho-florianopolis,88058-340,100,50,50,65,2,3,1,2,1,1,2017
https://www.quintoandar.com.br/condominio/primavera-garden-ingleses-norte-florianopolis-3keysr7rzp,Primavera Garden,primavera-garden-ingleses-norte-florianopolis,88058-400,230,,36,75,1,2,1,2,1,1,
https://www.quintoandar.com.br/condominio/servidao-do-forte-25-vargem-grande-florianopolis-9p6js9o7mk,,servidao-do-forte-25-vargem-grande-florianopolis,88052-635,150,59,50,55,1,2,1,1,,1,
https://www.quintoandar.com.br/condominio/rua-antonio-eleuterio-vieira-491-agronomica-florianopolis-d37s58y9xp,,rua-antonio-eleuterio-vieira-491-agronomica-florianopolis,88025-380,,,18,18,1,1,1,1,,,
https://www.quintoandar.com.br/condominio/sao-conrado-trindade-florianopolis-vk87s4v4yp,Sao Conrado,sao-conrado-trindade-florianopolis,88036-500,490,58,60,90,2,3,1,2,1,2,
https://www.quintoandar.com.br/condominio/rua-das-gaivotas-1477-ingleses-norte-florianopolis-xplgs9r02k,,rua-das-gaivotas-1477-ingleses-norte-florianopolis,88058-500,,,90,90,3,3,2,2,1,1,
https://www.quintoandar.com.br/condominio/mirante-dos-ingleses-ingleses-do-rio-vermelho-florianopolis-rdyos5rgek,Mirante dos Ingleses,mirante-dos-ingleses-ingleses-do-rio-vermelho-florianopolis,88058-344,150,,52,242,2,3,1,3,,2,2018
https://www.quintoandar.com.br/condominio/servidao-dos-anjos-e-arcanjos-2-sao-joao-do-rio-vermelho-florianopolis-k99s00vj0k,,servidao-dos-anjos-e-arcanjos-2-sao-joao-do-rio-vermelho-florianopolis,88060-236,,,36,36,2,2,1,1,1,1,
https://www.quintoandar.com.br/condominio/jurere-da-ilha-jurere-florianopolis-d37s5mzq7p,Jurerê da Ilha,jurere-da-ilha-jurere-florianopolis,88053-515,,,100,100,3,3,4,4,2,2,
https://www.quintoandar.com.br/condominio/servidao-joesi-guimaraes-da-silva-598-sao-joao-do-rio-vermelho-florianopolis-dv7sgmlxjd,,servidao-joesi-guimaraes-da-silva-598-sao-joao-do-rio-vermelho-florianopolis,88060-252,,8,60,63,2,2,2,2,1,1,
https://www.quintoandar.com.br/condominio/parque-residencial-comendador-rimsa-agronomica-florianopolis-3keysywx5p,Parque Residencial Comendador Rimsa,parque-residencial-comendador-rimsa-agronomica-florianopolis,88025-000,1700,1090,250,280,4,4,3,7,2,3,1993
https://www.quintoandar.com.br/condominio/roberto-muller-centro-florianopolis-pqmswqy15d,Roberto Muller,roberto-muller-centro-florianopolis,88015-600,1200,250,83,138,2,3,2,3,1,2,
https://www.quintoandar.com.br/condominio/residencial-lilo-teston-ingleses-norte-florianopolis-9p18s7zm3k,Residencial Lilo Teston,residencial-lilo-teston-ingleses-norte-florianopolis,88058-416,150,,50,177,2,3,1,2,,1,
https://www.quintoandar.com.br/condominio/rua-vereador-frederico-veras-159-pantanal-florianopolis-pxnsoz269d,,rua-vereador-frederico-veras-159-pantanal-florianopolis,88040-200,699,184,64,78,1,2,2,2,1,2,
https://www.quintoandar.com.br/condominio/rua-deputado-antonio-edu-vieira-910-pantanal-florianopolis-6knzsrn96k,,rua-deputado-antonio-edu-vieira-910-pantanal-florianopolis,88040-002,,,65,65,2,2,2,2,2,2,
https://www.quintoandar.com.br/condominio/servidao-jatoba-280-ingleses-do-rio-vermelho-florianopolis-9d37so828p,,servidao-jatoba-280-ingleses-do-rio-vermelho-florianopolis,88058-114,,,30,30,1,1,1,1,2,2,
https://www.quintoandar.com.br/condominio/rua-professor-milton-sulivan-28-carvoeira-florianopolis-3keys8yx7p,,rua-professor-milton-sulivan-28-carvoeira-florianopolis,88040,610,60,52,54,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/residencial-solar-imperial-saco-dos-limoes-florianopolis-9p18sl2vyk,Residencial Solar Imperial,residencial-solar-imperial-saco-dos-limoes-florianopolis,88045-401,525,120,78,119,2,3,2,2,1,1,
https://www.quintoandar.com.br/condominio/jardim-dos-corais-abraao-florianopolis-9dzqszjljd,Jardim dos Corais,jardim-dos-corais-abraao-florianopolis,88090-192,,,64,169,2,3,1,4,,4,
https://www.quintoandar.com.br/condominio/servidao-lua-branca-117-s-joao-rio-vermelho-florianopolis-8kojs7vjvd,,servidao-lua-branca-117-s-joao-rio-vermelho-florianopolis,88060-240,200,,60,60,2,2,1,1,1,1,
https://www.quintoandar.com.br/condominio/edificio-summer-beach-flat-residence-canasvieiras-florianopolis-wdw2sw68rd,Edifício Summer Beach Flat Residence,edificio-summer-beach-flat-residence-canasvieiras-florianopolis,88054-070,500,,37,100,1,2,1,2,,1,2009
https://www.quintoandar.com.br/condominio/villagio-di-capri-coqueiros-florianopolis-6knzs6vvmk,Villagio di Capri,villagio-di-capri-coqueiros-florianopolis,88080-760,500,7,52,128,1,3,1,3,1,2,
https://www.quintoandar.com.br/condominio/rodovia-joao-paulo-790-joao-paulo-florianopolis-plgsq9xr4k,,rodovia-joao-paulo-790-joao-paulo-florianopolis,88030-300,,,37,37,1,1,1,1,,,
https://www.quintoandar.com.br/condominio/gov-ivo-silveira-centro-florianopolis-jdjrs9r25k,Gov. Ivo Silveira,gov-ivo-silveira-centro-florianopolis,88010-301,450,71,29,62,1,2,1,1,,1,
https://www.quintoandar.com.br/condominio/rua-florianopolis-374-vila-bertioga-sao-paulo-plgsqex8wk,,rua-florianopolis-374-vila-bertioga-sao-paulo,03185-050,300,,120,150,3,3,3,4,2,4,2006
https://www.quintoandar.com.br/condominio/dona-margarida-centro-florianopolis-knzsy21egk,Dona Margarida,dona-margarida-centro-florianopolis,88010-001,600,97,30,138,1,4,1,3,,2,1974
https://www.quintoandar.com.br/condominio/residencial-saguis-ingleses-do-rio-vermelho-florianopolis-3keysnqo1p,Residencial Saguis,residencial-saguis-ingleses-do-rio-vermelho-florianopolis,88058-498,,25,25,25,1,1,1,1,,,
https://www.quintoandar.com.br/condominio/rua-deputado-antonio-edu-vieira-1099-pantanal-florianopolis-xplgs924gk,,rua-deputado-antonio-edu-vieira-1099-pantanal-florianopolis,88040-001,,,80,80,2,2,1,1,2,2,
https://www.quintoandar.com.br/condominio/rua-jornalista-manoel-menezes-32-itacorubi-florianopolis-9p6jsq2mlk,,rua-jornalista-manoel-menezes-32-itacorubi-florianopolis,88034-060,711,1200,110,133,3,4,2,3,1,1,
https://www.quintoandar.com.br/condominio/residencial-san-marino-saco-dos-limoes-florianopolis-9pm8so315k,Residencial San Marino,residencial-san-marino-saco-dos-limoes-florianopolis,88045-400,360,174,50,82,2,2,1,2,1,2,
https://www.quintoandar.com.br/condominio/rua-jardim-dos-eucaliptos-572-campeche-florianopolis-drrsno95wd,,rua-jardim-dos-eucaliptos-572-campeche-florianopolis,88063-270,,,137,210,3,4,2,4,2,3,
https://www.quintoandar.com.br/condominio/rua-gilmar-darli-vieira-27-lagoa-pequena-florianopolis-dw2s98oz8d,,rua-gilmar-darli-vieira-27-lagoa-pequena-florianopolis,88063-650,1053,145,85,245,3,4,2,3,1,2,
https://www.quintoandar.com.br/condominio/residencial-marina-lagoa-da-conceicao-florianopolis-ndv7s4qmnd,Residencial Marina,residencial-marina-lagoa-da-conceicao-florianopolis,88062-120,1100,130,96,297,2,3,1,3,1,3,
https://www.quintoandar.com.br/condominio/servidao-fabriciana-de-sao-avila-274-sao-joao-do-rio-vermelho-florianopolis-d71s6lj04d,,servidao-fabriciana-de-sao-avila-274-sao-joao-do-rio-vermelho-florianopolis,88060-233,,,30,30,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/servidao-maravilha-146-vargem-grande-florianopolis-drrsnm0vjd,,servidao-maravilha-146-vargem-grande-florianopolis,88052-629,,,30,30,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/servidao-luz-do-sol-290-ingleses-do-rio-vermelho-florianopolis-xplgs6wrwk,,servidao-luz-do-sol-290-ingleses-do-rio-vermelho-florianopolis,88058-462,,,25,50,1,1,1,1,,1,
https://www.quintoandar.com.br/condominio/residencial-fabiana-canto-florianopolis-6knzs4509k,Residencial Fabiana,residencial-fabiana-canto-florianopolis,88070-650,360,,40,100,1,2,1,2,,1,
https://www.quintoandar.com.br/condominio/ilha-de-petra-ingleses-norte-florianopolis-9pm8sl1vwk,Ilha de Petra,ilha-de-petra-ingleses-norte-florianopolis,88058-578,300,,72,160,2,3,2,2,,2,2015
