url,name,address,neighborhood,latitude,longitude,amenities
https://www.quintoandar.com.br/condominio/balneario-dos-corais-balneario-florianopolis-wk27s458zp,Condomínio Balneário dos Corais,"Rua Vereador Batista Pereira, 641",Balneário,-27.579509735107422,-48.585174560546875,Academia; Elevador; Salão de festas; Playground; Piscina; Churrasqueira; Piso tátil; Corrimão; Brinquedoteca; Salão de jogos; Rampas de acesso
https://www.quintoandar.com.br/condominio/servidao-madre-paulina-391-ingleses-norte-florianopolis-d71s67n7qd,"Condomínio em Servidão Madre Paulina, 391","Servidão Madre Paulina, 391",Ingleses,-27.447080612182617,-48.405128479003906,Churrasqueira; Vaga de garagem acessível; Corrimão
https://www.quintoandar.com.br/condominio/rua-manoel-pedro-teixeira-157-sao-joao-do-rio-vermelho-florianopolis-pxnsorz70d,"Condomínio em Rua Manoel Pedro Teixeira, 157","Rua Manoel Pedro Teixeira, 157",São João do Rio Vermelho,-27.490161895751953,-48.41786193847656,Corrimão; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/sergio-de-carvalho-ingleses-norte-florianopolis-vk87sn373p,Condomínio Sergio de Carvalho,"Servidão Ayrton Senna, 370",Ingleses,-27.446884155273438,-48.40498733520508,Gás encanado; Piscina; Churrasqueira; Vaga de garagem acessível
https://www.quintoandar.com.br/condominio/residencial-nathalia-ingleses-do-rio-vermelho-florianopolis-9p18s9vgnk,Residencial Nathalia,"Servidão Fermino Severino Sagaz, 240",Ingleses,-27.447572708129883,-48.3994255065918,Vaga de garagem acessível; Gás encanado; Churrasqueira; Corrimão
https://www.quintoandar.com.br/condominio/rua-das-algas-285-jurere-florianopolis-ek99sxnl2k,"Condomínio em Rua das Algas, 285","Rua das Algas, 285",Jurerê,-27.441638946533203,-48.49390411376953,Corrimão; Vaga de garagem acessível; Elevador; Churrasqueira
https://www.quintoandar.com.br/condominio/ilhas-do-atlantico-ingleses-do-rio-vermelho-florianopolis-k27sgrxwrp,Condomínio Ilhas do Atlantico,"Rua Nivaldo Alfredo Silva, 301",Ingleses,-27.44367027282715,-48.40621566772461,Vaga de garagem acessível; Corrimão; Churrasqueira
https://www.quintoandar.com.br/condominio/residencial-costa-do-sol-ingleses-do-rio-vermelho-florianopolis-ek99sgv93k,Residencial Costa do Sol,"Rua Dante de Patta, 280",Ingleses,-27.43433380126953,-48.396305084228516,Elevador; Churrasqueira; Salão de festas; Espaço gourmet na área comum; Gás encanado
https://www.quintoandar.com.br/condominio/residencial-villa-doratta-abraao-florianopolis-jpqms3931d,Residencial Villa Doratta,"Rua João Meirelles, 967",Abraão,-27.608781814575195,-48.593894958496094,Piscina; Espaço gourmet na área comum; Gás encanado; Elevador; Salão de festas; Academia; Playground; Churrasqueira; Rampas de acesso; Brinquedoteca; Corrimão; Portaria 24h
https://www.quintoandar.com.br/condominio/hk-studios-centro-florianopolis-dyoswy7w6k,Condomínio HK Studios,"Rua Ernesto Stodieck, 68",Centro,-27.583465576171875,-48.541099548339844,Rampas de acesso; Piso tátil; Elevador; Corrimão; Vaga de garagem acessível; Academia; Lavanderia no prédio
https://www.quintoandar.com.br/condominio/rua-capitao-savas-337-itaguacu-florianopolis-9pm8szzl9k,"Condomínio em Rua Capitão Savas, 337","Rua Capitão Savas, 337",Itaguaçu,-27.613536834716797,-48.59016799926758,Churrasqueira; Corrimão; Rampas de acesso; Gás encanado
https://www.quintoandar.com.br/condominio/solar-do-faial-centro-florianopolis-2drrsx46gd,Condomínio Solar do Faial,"Avenida Mauro Ramos, 733",Centro,-27.594789505004883,-48.54389572143555,Vaga de garagem acessível; Rampas de acesso; Elevador
https://www.quintoandar.com.br/condominio/taruma-itacorubi-florianopolis-ed5zsx386d,Condomínio Taruma,"Rua Pastor William Richard Schisler Filho, 1200",Itacorubi,-27.578289031982422,-48.50532913208008,Playground; Piscina; Churrasqueira; Gás encanado; Quadra esportiva; Salão de festas; Espaço gourmet na área comum; Portaria 24h
